model,RMSE,MAE,MAPE %,Directional %,RMSE on returns,RMSE vs naive
Naive (persistence),2.1295,1.4774,1.519,,0.021964,1.0
Drift,2.1297,1.4776,1.519,49.31,0.021964,1.0
SMA(2),2.3957,1.6988,1.743,48.17,0.024789,1.125
EMA(2),2.2831,1.607,1.647,50.57,0.023613,1.072
"ARIMA(0, 1, 0)",2.1295,1.4774,1.519,,0.021964,1.0
"ARIMA(1, 1, 1)",2.1303,1.479,1.52,50.6,0.021976,1.0
"LSTM (price, train only scaler)",29.9704,28.2839,27.654,51.02,0.282397,14.074
LSTM (leaky scaler),13.442,11.4099,10.696,50.57,0.120262,6.312
LSTM (log returns),2.1259,1.4741,1.516,55.15,0.02191,0.998
"LSTM (log returns, 5 seed mean)",2.1295,1.477,1.519,51.51,0.021948,1.0
